STUDENTID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22
100,1,3,1,1,2,1,1,2,6,6,1,6,6,5,6,6,6,6,6,6,6,6,6,4,6,2,5,5,5,5,3,4,1,1,1,1,1,1,2,1,1,2,1,2,2,2
101,4,2,4,2,2,3,2,3,4,3,4,6,4,3,3,3,5,2,3,4,2,3,1,5,6,1,1,1,1,1,2,6,1,1,1,1,1,1,2,1,1,1,1,1,2,1
102,3.02,3,3,1,1,1,1,1,6,4,6,6,6,6,6,6,6,6,6,2,5,4,4,1,6,3,1,5,5,2,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4,4
103,1,4,4,1,4,2,1,4,5,3,3,5,6,5,4,5,4,5,4,3,4,4,5,3,5,2,2,1,1,3,2,6,1,1,1,1,1,1,1,1,1,1,1,1,2,1
104,2,2,2,1,2,3,1,3,4,3,2,5,6,6,6,6,6,6,6,3,6,6,6,2,5,2,2,2,2,2,2,5,2,2,1,1,1,1,2,2,2,1,3,2,2,3
105,4,4,3,2,4,4,2,2,5,4,3,3,5,3,4,4,3,5,4,3,4,4,5,5,6,2,2,2,1,2,2,5,1,1,2,1,1,2,1,1,1,1,2,1,4,4
106,1,1,2,2,1,1,1,1,1,6,3.22,6,6,6,6,6,6,6,5,4,5,6,5,3,6,2,3,2,3,2,1,6,1,1,1,1,1,1,1,1,1,1,3,2,2,2
107,5,5,6,5,4,6,5,6,5,3,5,6,6,6,6,5,4,6,6,5,6,5,4,4,5,2,1,3,2,1,1,5,1,1,2,1,1,1,3,1,1,1,1,1,3,2
108,2,4,2,2,4,2,2,4,5,3,2,5,5,5,5,5,6,5,5,2,5,5,5,3,6,2,1,2,1,1,1,5,1,1,1,1,1,1,1,1,2,1,2,1,2,2
110,1,1,1,1,1,1,1,1,3,2,6,3,6,6,3,6,6,6,5,6,6,5,6,6,6,5,5,5,3,5,3,6,1,1,1,1,1,1,2,1,1,1,2,1,5,5
111,6,1,6,4,3,1,1,1,6,1,6,6,6,6,6,6,6,6,6,1,6,3,6,6,6,1,1,1,1,1,1,6,1,1,2,1,1,1,1,1,1,1,2,1,3,1
112,3,4,2,1,3,2,1,3,3,4,2,4,4,6,6,5,5,5,4,4,4,4,4,4,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,4,4,1,4,4
115,4,6,4,2,5,3,2,5,5,4,4,3,6,5,5,6,6,6,6,4,5,6,6,5,4,4,3,4,4,4,2,5,1,3,1,3,2,4,2,4,3,3,2,4,5,4
